"Time","data","trace"
2022-07-22 01:12:00,112728.65217391304,0
2022-07-22 01:13:00,112381.45217391304,0
2022-07-22 01:14:00,112114.57391304348,0
2022-07-22 01:15:00,112193.86956521739,0
2022-07-22 01:16:00,112520.76521739131,0
2022-07-22 01:17:00,112245.13043478261,0
2022-07-22 01:18:00,112015.65217391303,0
2022-07-22 01:19:00,111710.42608695652,0
2022-07-22 01:20:00,111758.22608695654,0
2022-07-22 01:21:00,111945.2956521739,0
2022-07-22 01:22:00,112235.46086956521,0
2022-07-22 01:23:00,113540.20869565217,0
2022-07-22 01:24:00,112736.25217391305,0
2022-07-22 01:25:00,109511.76521739128,0
2022-07-22 01:26:00,109299.55652173913,0
2022-07-22 01:27:00,109248.07826086957,0
2022-07-22 01:28:00,106340.34782608695,0
2022-07-22 01:29:00,106125.73913043477,0
2022-07-22 01:30:00,109466.41739130433,0
2022-07-22 01:31:00,109263.42608695652,0
2022-07-22 01:32:00,105440.5304347826,0
2022-07-22 01:33:00,103250.8,0
2022-07-22 01:34:00,102684.4,0
2022-07-22 01:35:00,103591.74782608695,0
2022-07-22 01:36:00,109454.72173913043,0
2022-07-22 01:37:00,107568.38260869564,0
2022-07-22 01:38:00,104083.2695652174,0
2022-07-22 01:39:00,103626.37391304348,0
2022-07-22 01:40:00,101436.64347826087,0
2022-07-22 01:41:00,99605.45217391304,0
2022-07-22 01:42:00,101371.77391304348,0
2022-07-22 01:43:00,103954.1652173913,0
2022-07-22 01:44:00,103971.67826086956,0
2022-07-22 01:45:00,102866.45217391304,0
2022-07-22 01:46:00,101611.70434782607,0
2022-07-22 01:47:00,105319.80869565217,0
2022-07-22 01:48:00,120064.86956521738,0
2022-07-22 01:49:00,132233.73913043478,0
2022-07-22 01:50:00,133565.34782608697,0
2022-07-22 01:51:00,140658.71304347826,0
2022-07-22 01:52:00,149370.75652173912,0
2022-07-22 01:53:00,144430.39130434784,0
2022-07-22 01:54:00,136661.4956521739,0
2022-07-22 01:55:00,133484.5304347826,0
2022-07-22 01:56:00,132915.08695652173,0
2022-07-22 01:57:00,126455.39130434782,0
2022-07-22 01:58:00,110887.91304347826,0
2022-07-22 01:59:00,107826.60869565218,0
2022-07-22 02:00:00,116221.14782608696,0
2022-07-22 02:01:00,118101.14782608696,0
2022-07-22 02:02:00,116933.31304347825,0
2022-07-22 02:03:00,118743.3043478261,0
2022-07-22 02:04:00,117551.05217391305,0
2022-07-22 02:05:00,113727.1304347826,0
2022-07-22 02:06:00,112248.00869565218,0
2022-07-22 02:07:00,111380.02608695652,0
2022-07-22 02:08:00,110358.3304347826,0
2022-07-22 02:09:00,111828.97391304348,0
2022-07-22 02:10:00,109843.68695652173,0
2022-07-22 02:11:00,119743.91304347826,0
2022-07-22 02:12:00,141378.86086956522,0
2022-07-22 02:13:00,136543.99130434782,0
2022-07-22 02:14:00,128379.14782608695,0
2022-07-22 02:15:00,134191.02608695652,0
2022-07-22 02:16:00,130905.40869565216,0
2022-07-22 02:17:00,125113.18260869566,0
2022-07-22 02:18:00,124975.65217391304,0
2022-07-22 02:19:00,120311.75652173912,0
2022-07-22 02:20:00,117916.53043478262,0
2022-07-22 02:21:00,120849.02608695652,0
2022-07-22 02:22:00,123811.82608695651,0
2022-07-22 02:23:00,126309.30434782608,0
2022-07-22 02:24:00,125744.6956521739,0
2022-07-22 02:25:00,113678.28695652174,0
2022-07-22 02:26:00,107679.6,0
2022-07-22 02:27:00,113862.37391304347,0
2022-07-22 02:28:00,114082.29565217391,0
2022-07-22 02:29:00,114330.04347826086,0
2022-07-22 02:30:00,121031.13913043478,0
2022-07-22 02:31:00,118910.87826086956,0
2022-07-22 02:32:00,111345.17391304347,0
2022-07-22 02:33:00,112232.8347826087,0
2022-07-22 02:34:00,113027.05217391305,0
2022-07-22 02:35:00,117095.8347826087,0
2022-07-22 02:36:00,129957.92173913043,0
2022-07-22 02:37:00,124648.2260869565,0
2022-07-22 02:38:00,116145.14782608695,0
2022-07-22 02:39:00,125237.53913043479,0
2022-07-22 02:40:00,131605.53043478262,0
2022-07-22 02:41:00,123856.4347826087,0
2022-07-22 02:42:00,112984.92173913043,0
2022-07-22 02:43:00,104875.05217391305,0
2022-07-22 02:44:00,103207.92173913043,0
2022-07-22 02:45:00,103396.86956521738,0
2022-07-22 02:46:00,101455.14782608696,0
2022-07-22 02:47:00,108818.91304347827,0
2022-07-22 02:48:00,125596.88695652173,0
2022-07-22 02:49:00,124028.60869565218,0
2022-07-22 02:50:00,112352.74782608697,0
2022-07-22 02:51:00,109124.35652173913,0
2022-07-22 02:52:00,106741.47826086957,0
2022-07-22 02:53:00,105590.16521739132,0
2022-07-22 02:54:00,108633.10173001117,0
2022-07-22 02:55:00,104986.27826086956,0
2022-07-22 02:56:00,101373.09565217391,0
2022-07-22 02:57:00,100622.55652173913,0
2022-07-22 02:58:00,99586.4608695652,0
2022-07-22 02:59:00,106770.33913043478,0
2022-07-22 03:00:00,124183.12173913044,0
2022-07-22 03:01:00,121497.0956521739,0
2022-07-22 03:02:00,111243.08695652174,0
