Timestamp,Kafka Lag,Kafka Message Rate,Flink Records In,CPU,Mem,Long-Term Prediction,Short-Term Prediction,Aggregate Prediction,Parallelism,Lag Latency
2021-03-17T22:41:54,0,699.521728515625,1395.634765625,0.00401404919102788,0.12722665071487427,NaN,NaN,699.521728515625,0,0.0
2021-03-17T22:42:14,0,688.4434814453125,1395.1304931640625,0.0037631711456924677,0.12183629721403122,NaN,NaN,688.4434814453125,1,0.0
2021-03-17T22:42:34,0,681.6695556640625,1368.13916015625,0.004263857379555702,0.0956386923789978,NaN,NaN,681.6695556640625,1,0.0
2021-03-17T22:42:54,0,679.3304443359375,1364.0869140625,0.004012036137282848,0.08615484833717346,NaN,NaN,679.3304443359375,1,0.0
2021-03-17T22:43:14,0,671.95654296875,1343.3043212890625,0.004012036137282848,0.3468928337097168,NaN,NaN,671.95654296875,1,0.0
2021-03-17T22:43:34,0,667.704345703125,1328.9390869140625,0.005522088147699833,0.3200148940086365,NaN,NaN,667.704345703125,1,0.0
2021-03-17T22:43:54,0,655.5739135742188,1302.5565185546875,0.00401304243132472,0.32350319623947144,NaN,NaN,655.5739135742188,1,0.0
2021-03-17T22:44:14,0,653.1912841796875,1294.2783203125,0.004269211553037167,0.30553025007247925,NaN,NaN,653.1912841796875,1,0.0
2021-03-17T22:44:34,0,645.04345703125,1287.9130859375,0.003514938522130251,0.28009033203125,NaN,NaN,645.04345703125,1,0.0
2021-03-17T22:44:54,0,642.7999877929688,1288.50439453125,0.004515805281698704,0.2650180757045746,NaN,NaN,642.7999877929688,1,0.0
2021-03-17T22:45:14,0,640.9217529296875,1268.521728515625,0.0035131743643432856,0.24267050623893738,NaN,NaN,640.9217529296875,1,0.0
2021-03-17T22:45:34,0,637.1217651367188,1268.800048828125,0.00401606410741806,0.22109851241111755,NaN,NaN,637.1217651367188,1,0.0
2021-03-17T22:45:54,0,632.0956420898438,1276.6956787109375,0.0037612838204950094,0.22650998830795288,NaN,NaN,632.0956420898438,1,0.0
2021-03-17T22:46:14,0,627.6782836914062,1247.3043212890625,0.0035122931003570557,0.1939842402935028,NaN,NaN,627.6782836914062,1,0.0
2021-03-17T22:46:34,0,617.365234375,1236.904296875,0.013306552544236183,0.16466663777828217,NaN,NaN,617.365234375,1,0.0
2021-03-17T22:46:54,0,610.9391479492188,1222.660888671875,0.0035096516367048025,0.13168251514434814,NaN,NaN,610.9391479492188,1,0.0
2021-03-17T22:47:14,0,604.0,1212.67822265625,0.0037612838204950094,0.10822804272174835,NaN,NaN,604.0,1,0.0
2021-03-17T22:47:34,0,595.5478515625,1184.3477783203125,0.0037612838204950094,0.33761271834373474,NaN,NaN,595.5478515625,1,0.0
2021-03-17T22:47:54,0,593.9652099609375,1191.1651611328125,0.0035114120692014694,0.34505775570869446,NaN,NaN,593.9652099609375,1,0.0
2021-03-17T22:48:14,0,592.0347900390625,1177.9130859375,0.003262233454734087,0.30883854627609253,NaN,NaN,592.0347900390625,1,0.0
2021-03-17T22:48:34,0,585.2782592773438,1174.0347900390625,0.0035096516367048025,0.27260422706604004,NaN,NaN,585.2782592773438,1,0.0
2021-03-17T22:48:54,0,581.9391479492188,1167.9652099609375,0.00401404919102788,0.23779642581939697,NaN,NaN,581.9391479492188,1,0.0
2021-03-17T22:49:14,0,580.0086669921875,1169.8956298828125,0.008030112832784653,0.2053527534008026,NaN,NaN,580.0086669921875,1,0.0
2021-03-17T22:49:34,0,574.5304565429688,1149.3043212890625,0.003762227250263095,0.16175580024719238,NaN,NaN,574.5304565429688,1,0.0
2021-03-17T22:49:54,0,571.3130493164062,1145.7564697265625,0.003262233454734087,0.15803836286067963,NaN,NaN,571.3130493164062,1,0.0
2021-03-17T22:50:14,0,565.2869262695312,1129.40869140625,0.003765060333535075,0.12124244123697281,NaN,NaN,565.2869262695312,1,0.0
2021-03-17T22:50:34,0,561.0869750976562,1126.0347900390625,0.0037631711456924677,0.3528040945529938,NaN,NaN,561.0869750976562,1,0.0
2021-03-17T22:50:54,0,562.9130249023438,1128.069580078125,0.006773707922548056,0.3168324828147888,NaN,NaN,562.9130249023438,1,0.0
2021-03-17T22:51:14,0,555.7825927734375,1111.5478515625,0.0037631711456924677,0.2713921368122101,NaN,NaN,555.7825927734375,1,0.0
2021-03-17T22:51:34,0,548.5391235351562,1092.4173583984375,0.003765060333535075,0.21998374164104462,NaN,NaN,548.5391235351562,1,0.0
2021-03-17T22:51:54,0,554.3565063476562,1105.982666015625,0.004012036137282848,0.22395479679107666,NaN,NaN,554.3565063476562,1,0.0
2021-03-17T22:52:14,0,546.3912963867188,1099.4608154296875,0.003764115506783128,0.1798287034034729,NaN,NaN,546.3912963867188,1,0.0
2021-03-17T22:52:34,0,547.7304077148438,1098.22607421875,0.004515805281698704,0.13584858179092407,NaN,NaN,547.7304077148438,1,0.0
2021-03-17T22:52:54,0,542.1738891601562,1086.434814453125,0.0035122931003570557,0.09411946684122086,NaN,NaN,542.1738891601562,1,0.0
2021-03-17T22:53:14,0,537.9478149414062,1076.2435302734375,0.00401606410741806,0.32493555545806885,NaN,NaN,537.9478149414062,1,0.0
2021-03-17T22:53:34,0,533.1912841796875,1078.1739501953125,0.003765060333535075,0.27416378259658813,NaN,NaN,533.1912841796875,1,0.0
2021-03-17T22:53:54,0,528.9217529296875,1062.8348388671875,0.0037631711456924677,0.275418758392334,NaN,NaN,528.9217529296875,1,0.0
2021-03-17T22:54:14,0,530.2000122070312,1061.6695556640625,0.004017072729766369,0.22389090061187744,NaN,NaN,530.2000122070312,1,0.0
