date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA,Prophet
2020-02-19 22:45:00,115557,116319.0,109053.0,116317.04485790928,115628.58372259361,115828.18370809992,114114.09090439849,111137.79002684788
2020-02-19 22:50:00,114322,115557.0,106912.0,115560.80022428956,115013.75684576918,115201.22843188063,114240.76392673666,110842.658327066
2020-02-19 22:55:00,114057,114322.0,107257.0,114328.19400112145,113796.10769188595,113987.48683583723,114770.16951793263,110467.71396126148
2020-02-19 23:00:00,114827,114057.0,108211.0,114058.3559700056,114283.22501103587,113587.416857974,114931.51726350098,110075.09928518528
2020-02-19 23:05:00,115685,114827.0,108468.0,114823.15677985006,114963.1880859652,114314.90117481104,114591.45163556028,109691.47891482414
2020-02-19 23:10:00,113961,115685.0,108067.0,115680.69078389926,114041.78887355428,115316.2633407792,113817.57874059542,109311.944909127
2020-02-19 23:15:00,111964,113961.0,106720.0,113969.59845391948,112661.40868327719,113910.98485073032,112987.21108993277,108928.18106929828
2020-02-19 23:20:00,111259,111964.0,106391.0,111974.0279922696,111191.29337293173,111807.04129373137,112166.12637299666,108570.56841536865
2020-02-19 23:25:00,109286,111259.0,105236.0,111262.57513996137,110028.03254443662,110820.59962731678,111347.50027915768,108161.32237398646
2020-02-19 23:30:00,108364,109286.0,105100.0,109295.8828756998,109035.69209985677,108865.72276837184,110506.79106190465,107747.37772813949
2020-02-19 23:35:00,107891,108364.0,104507.0,108368.65941437848,108057.72388698325,107738.70318725024,109638.19451741123,107378.73859494954
2020-02-19 23:40:00,106519,107891.0,103151.0,107893.38829707188,106368.38405340606,107200.44635082615,108764.70224487262,107023.92385526582
2020-02-19 23:45:00,106327,106519.0,102847.0,106525.87194148535,105697.31878576368,105922.24033735068,108014.30458360534,106587.93052726772
2020-02-19 23:50:00,104915,106327.0,102109.0,106327.99435970745,105520.0237211424,105619.46598928014,107410.04057783032,106150.98274077836
2020-02-19 23:55:00,104755,104915.0,102863.0,104922.06497179854,104605.07769098952,104344.74265958049,106903.76512387097,105711.69168918543
2020-02-20 00:00:00,104819,104755.0,102357.0,104755.835324859,104239.77291299976,104068.7340213194,106216.83446973751,105416.59517973907
2020-02-20 00:05:00,105196,104819.0,101299.0,104818.6841766243,104833.60356639112,104184.45074607617,105301.2021245968,104955.97312162133
2020-02-20 00:10:00,104386,105196.0,102101.0,105194.11342088312,104380.08554983504,104651.23928687756,104190.65075467284,104500.16243447762
2020-02-20 00:15:00,101948,104386.0,100489.0,104390.0405671044,103031.34071834362,104044.97922878142,103078.55071019946,104026.25685941604
2020-02-20 00:20:00,100625,101948.0,99775.0,101960.21020283551,101198.32110952247,101700.33478174584,101997.85463254784,103537.94741421576
2020-02-20 00:25:00,100320,100625.0,99061.0,100631.67605101418,99890.3579060992,100106.44475604188,100958.02419366424,103063.454251157
2020-02-20 00:30:00,99214,100320.0,98372.0,100321.55838025508,99756.04419590806,99634.03521837364,100019.60726290754,102556.58038115708
2020-02-20 00:35:00,98580,99214.0,97610.0,99219.53779190128,98383.4512047156,98616.39712753812,99192.938468308,102075.04037689354
2020-02-20 00:40:00,97642,98580.0,96936.0,98583.19768895952,98064.25049936319,97940.5341878075,98459.33047011826,101557.99787080826
2020-02-20 00:45:00,96768,97642.0,96664.0,97646.7059884448,96921.23845004922,97040.7852070752,97708.50814508049,101047.48112226393
2020-02-20 00:50:00,96030,96768.0,95830.0,96768.0000130236,96036.40773949481,96158.91045317677,96921.49006032084,100523.49698952243
2020-02-20 00:55:00,95525,96030.0,95421.0,96033.71196764972,95610.16221362453,95409.15078256358,96107.99029631368,100074.2778599779
2020-02-20 01:00:00,95124,95525.0,94466.0,95527.54355983825,95178.53888197053,94902.0950539376,95322.57544048608,99540.99330334533
2020-02-20 01:05:00,94795,95124.0,94603.0,95126.0177177992,95045.34326918115,94533.00009610943,94574.97874448684,98998.27062692364
2020-02-20 01:10:00,94298,94795.0,93681.0,94796.655088589,94211.1029875838,94249.52977869973,93861.77709957624,98468.25154321465
2020-02-20 01:15:00,94122,94298.0,93472.0,94300.49327544298,93610.13365128453,93815.19418007914,93166.36513412066,97919.13383980012
2020-02-20 01:20:00,93103,94122.0,92678.0,94122.89246637722,93219.03205937863,93648.9419195008,92485.03783553687,97367.14523135204
2020-02-20 01:25:00,92887,93103.0,92021.0,93108.09946233188,92630.485190434,92731.73806421497,91842.25331023907,96816.43235339016
2020-02-20 01:30:00,92887,92887.0,91114.0,92888.10549731166,92568.51276220704,92432.13774023518,91378.89353819937,96327.76080466842
2020-02-20 01:35:00,91900,92887.0,91082.0,92887.00552748656,92508.12055989889,92449.46949089556,91119.86058592974,95765.37083038464
2020-02-20 01:40:00,91812,91900.0,90994.0,91904.93502763745,91616.98430565854,91587.18971918644,91027.34616644736,95211.72351110312
2020-02-20 01:45:00,91507,91812.0,90433.0,91812.4646751382,91441.39690348567,91408.3755231752,90883.23840150886,94669.43385488792
2020-02-20 01:50:00,91010,91507.0,90377.0,91508.52732337567,91214.91017480445,91150.82010328997,90649.55069056767,94120.59316733964
2020-02-20 01:55:00,91026,91010.0,90617.0,91012.49263661688,90793.5513986625,90692.59629006428,90353.8614550829,93583.02027276474
2020-02-20 02:00:00,90713,91026.0,89807.0,91025.93246318308,90605.53408110706,90678.56136257944,90151.82835507311,93050.68151173086
2020-02-20 02:05:00,90746,90713.0,89815.0,90714.56466231593,90938.26400226381,90432.11974109976,90070.86692953415,92518.81017249316
2020-02-20 02:10:00,90521,90746.0,89078.0,90745.84282331158,90424.38996444468,90463.34953031818,90081.6463874763,92039.50144029518
2020-02-20 02:15:00,90280,90521.0,89583.0,90522.12421411656,90033.3396017235,90297.50757359088,90016.81247480867,91526.33300807388
2020-02-20 02:20:00,90112,90280.0,89158.0,90281.21062107055,89876.35052063368,90075.51521755329,89847.48676440486,91012.97941420865
2020-02-20 02:25:00,89719,90112.0,89021.0,90112.84605310536,89643.5100151026,89910.2040547677,89588.2294102949,90523.89866026376
2020-02-20 02:30:00,88693,89719.0,88709.0,89720.96923026553,89326.81246040875,89542.01323439517,89320.85922424137,90040.4440310566
2020-02-20 02:35:00,89190,88693.0,88404.0,88698.13984615133,88603.1723422927,88541.12105976435,89059.26613538737,89575.48203897254
2020-02-20 02:40:00,88989,89190.0,88396.0,89187.54069923074,88799.65633444251,88866.28102077259,88813.87200798307,89114.69500872231
2020-02-20 02:45:00,89438,88989.0,87987.0,88989.99270349613,88737.7045437324,88777.3198111776,88648.34356476365,88679.81303028502
2020-02-20 02:50:00,88460,89438.0,88043.0,89435.75996351748,89230.6252425585,89215.60856634879,88573.58812267787,88261.69694747355
2020-02-20 02:55:00,88781,88460.0,87963.0,88464.87879981758,88284.10193722771,88398.78765371598,88574.76443521556,87854.31421597139
2020-02-20 03:00:00,88484,88781.0,87931.0,88779.4193939991,88748.66565620134,88574.9609743717,88564.75668195671,87472.48997064355
2020-02-20 03:05:00,88428,88484.0,87971.0,88485.47709697,88340.73201064153,88353.72241794015,88528.74563003905,87226.21408948953
2020-02-20 03:10:00,88588,88428.0,87658.0,88428.28738548484,88140.00863020663,88282.92599023005,88469.08576235756,86911.31448661386
2020-02-20 03:15:00,87907,88588.0,87762.0,88587.20143692743,88565.69748074407,88442.27842972678,88398.207172254,86599.48314738518
2020-02-20 03:20:00,87859,87907.0,87658.0,87910.40100718463,87657.24303428171,87847.88948229108,88318.178038095,86332.06646186774
2020-02-20 03:25:00,88011,87859.0,87971.0,87859.25700503592,87681.021922788,87712.9002978169,88238.31516922922,86065.11912176857
2020-02-20 03:30:00,87939,88011.0,87794.0,88010.99999773502,88005.05672056442,87854.36675172712,88214.38744931994,85834.95021772856
2020-02-20 03:35:00,88147,87939.0,87746.0,87939.35620642513,87860.24900224175,87831.86574259841,88255.75823104804,85673.3043922683
2020-02-20 03:40:00,88324,88147.0,87778.0,88145.96178103214,88006.21729807887,88038.66660998086,88357.61424976282,85499.63700947241
2020-02-20 03:45:00,88572,88324.0,87835.0,88323.10980890518,88270.46581648235,88254.03411677813,88491.36642575203,85388.57510613643
2020-02-20 03:50:00,88717,88572.0,87971.0,88570.75554904454,88563.62187618947,88531.91545099352,88652.61021038663,85268.60641942488
2020-02-20 03:55:00,88693,88717.0,88380.0,88716.26877774524,88726.80253600258,88718.6441089415,88828.13991535532,85205.880215802
2020-02-20 04:00:00,89262,88693.0,88669.0,88693.11634388873,89325.71330404012,88725.16298466787,88941.22458815256,85265.83393868138
2020-02-20 04:05:00,89134,89262.0,88492.0,89259.15558171946,89060.19253322163,89255.74061941414,88978.04308821536,85264.30271856219
