dataset,sampling_rate,SARIMA_opt,SARIMA_tune,LASTOBSERVED,ARIMA_opt,ARIMA_tune,SimpleExpSmoothing,SimpleExpSmoothing_tune,ExpSmoothing,ExpSmoothing_tune,Prophet,Prophet_tune
avazu,1h,304.22509598731995,1.1622402533045355,0.0011184035607104,1.162101984024048,0.0121477055099775,0.0054137706756591,0.0059887958022783,0.0198442935943603,0.0121172734026638,0.6899402141571045,0.054384577949092
avazu,15min,1288.2561116218567,25.05595335350217,0.0007058240791067,9.58045530319214,0.0768391227270189,0.0042121410369873,0.0071593426980113,0.028058290481567383,0.016655803291718542,0.2008974552154541,0.1057319110038721
avazu,5min,,,0.0007183423525169,39.76927065849304,0.2914005895204182,0.0066854953765869,0.0104110508779936,0.4175212383270263,0.1473992374208238,1.0460176467895508,0.2245336903046958
IoT,1h,235.6325097084045,0.0678189745043764,0.0007086697191295,4.308952808380127,0.0294405422588386,0.0048935413360595,0.0064225102415179,0.0361802577972412,0.0289414637159593,0.0745720863342285,0.0671532342929651
IoT,15min,2061.989176273346,8.137556841467866,0.0007338039945847,15.69677209854126,0.1934256937244151,0.0051939487457275,0.0085188262533433,0.0980200767517089,0.0601101659312106,0.4327790737152099,0.1437420667988239
IoT,5min,,,0.0007529087303098,35.072345972061164,1.1469114023791858,0.0092542171478271,0.0144498994527769,0.6216213703155518,0.4510192010576362,3.460655212402344,0.3387798443313473
wiki_de,1h,205.5043807029724,0.0618147000227824,0.0007149559436458,4.625229358673097,0.0548527665657572,0.0046000480651855,0.0064216273846012,0.0385913848876953,0.0297062798301772,0.124039888381958,0.0883712320044489
wiki_de,15min,2907.406276702881,4.4970171534188905,0.0007160606950816,6.867576360702515,0.0939997859520487,0.0052080154418945,0.0084635237656017,0.1157138347625732,0.050019888594599,0.8428168296813965,0.1884674601035543
wiki_de,5min,,,0.0007749261934895,27.67082691192627,0.2285684043710882,0.0100748538970947,0.0145615658484214,0.7235534191131592,0.1718860341618392,2.588191509246826,0.3556096476956832
wiki_en,1h,310.6024587154388,1.0406741316955868,0.0007003888045207,2.2921059131622314,0.0372272009896759,0.0044541358947753,0.0069148091986627,0.039492130279541,0.028896943177327,0.1938986778259277,0.0861618093924947
wiki_en,15min,1220.6470246315002,9.88682647211717,0.0007180022721243,14.439611673355104,0.1018173187085897,0.0099029541015625,0.0088405367171409,0.1182408332824707,0.0466152217128489,1.1210978031158447,0.2432420141626112
wiki_en,5min,,,0.0007346074443218,31.19831967353821,0.4185174744976453,0.0104115009307861,0.0145645346523316,0.6859607696533203,0.1659645037540537,4.959005355834961,0.4941844632802916
horton,1h,464.53756165504456,1.073921647336748,0.000722888443205,3.7488396167755127,0.0341807272699144,0.0043902397155761,0.0068634880913628,0.0380966663360595,0.0297164254718356,0.0703985691070556,0.0575063493516709
horton,15min,767.1792793273926,8.061774737305113,0.0007009092304441,6.860278606414795,0.055503470202287,0.0049719810485839,0.0076754043499628,0.0759077072143554,0.0445099539226955,0.223602294921875,0.1112281415197584
horton,5min,,,0.000761251758646,23.901270389556885,0.1745995683250603,0.0078637599945068,0.0120770784991758,0.707801342010498,0.151242505646637,1.5433402061462402,0.2251213239850821
retailrocket,1h,509.8841667175293,1.1176233504078177,0.0007023410041733,4.246075868606567,0.0398556690404909,0.0039124488830566,0.0064979284116537,0.0440969467163085,0.0296207654594194,0.1380114555358886,0.0844704892375681
retailrocket,15min,1874.86291217804,18.258898705539146,0.0007142495400834,6.230497360229492,0.0591648073479679,0.0096104145050048,0.0088218385630314,0.1022212505340576,0.0587307545218137,0.7322733402252197,0.1589689284267992
retailrocket,5min,,,0.0007371896554615,26.35977292060852,0.1201336115844978,0.0096974372863769,0.0145379190602578,0.6034293174743652,0.4481012438939623,2.2325365543365483,0.2897600191683808
taxi,1h,329.8143241405487,0.0623157874192341,0.000733746160375,3.112152576446533,0.0297123842900342,0.0043284893035888,0.0064780688521885,0.0377840995788574,0.0257229852204275,0.0621461868286132,0.0704489887350856
taxi,15min,2203.537794589997,5.112602748493157,0.0007188408681661,6.950710535049439,0.0543122126324342,0.0061805248260498,0.0087252819892203,0.0891146659851074,0.0464162903256935,0.4081623554229736,0.1385755692378129
taxi,5min,,,0.0007445207312087,22.589004278182983,0.1303119832819158,0.0095388889312744,0.0144562027671119,0.6762619018554688,0.199805397041573,1.8958630561828609,0.2629317131909457
alibaba,1h,374.2727994918823,2.600441539988798,0.0007424564922557,1.3425321578979492,0.0163546239628511,0.0038681030273437,0.0067004386116476,0.0314428806304931,0.0264824558706844,0.0386531352996826,0.049455067690681
alibaba,15min,3128.132830381393,20.120909003858213,0.0008505997834382,6.871143341064452,0.0762896802690294,0.0047972202301025,0.0067344877454969,0.0645458698272705,0.0448000996201126,0.0799105167388916,0.0623789999220106
alibaba,5min,,,0.0007063197852367,16.797807216644287,0.2159221486665716,0.0054554939270019,0.0078981907213505,0.5470864772796631,0.1232542812824249,0.2213799953460693,0.0902233918507893
google,1h,463.5306558609009,2.736591393404668,0.0006956582022185,2.681156635284424,0.0243931430401188,0.0044944286346435,0.0072161915278669,0.0348329544067382,0.0262656329882026,0.0482161045074462,0.0637046606233804
google,15min,1698.8873913288116,18.414895001024306,0.0007413631618613,21.414473295211792,0.1337745225075448,0.0057103633880615,0.008675747578687,0.0927941799163818,0.046251895404098,0.2812862396240234,0.1018781384619155
google,5min,,,0.0007527032174354,26.29045295715332,0.1988662792631417,0.0101914405822753,0.0146374042369117,0.6001670360565186,0.1690966452448821,1.6189010143280032,0.1805611019292153
